name,n,accuracy,log_loss,brier_score,ece,mean_confidence_correct,mean_confidence_incorrect,n_correct,n_incorrect,ece_ci95,brier_ci95,temperature
classical_val_diagnostic,1148,0.9486,0.2014,0.05,0.0982,0.8663,0.6471,1089,59,,,
classical_test,1148,0.9556,0.2001,0.0487,0.1033,0.862,0.6501,1097,51,"[0.0943, 0.1156]","[0.0431, 0.0546]",
bert_raw_test,1148,0.9843,0.0796,0.0143,0.0149,0.998,0.935,1130,18,"[0.0083, 0.022]","[0.0081, 0.0212]",
bert_calibrated_test,1148,0.9843,0.0605,0.0136,0.0108,0.9839,0.8861,1130,18,"[0.0056, 0.0174]","[0.0079, 0.02]",1.8148
